Marker,ISI
Sst,77.33714286
Sst,44.145
Sst,7.84
Sst,73.09
Sst,63.51333333
Sst,50.76
Sst,70.63090909
Sst,95.446
Sst,34.44
Sst,36.39461538
Sst,51.32666667
Sst,66.54153846
Sst,69.06666667
Sst,94.766
Sst,54.62285714
Sst,62.625
Sst,46.967
Sst,67.30181818
Sst,38.4447619
Sst,60.77733333
Sst,55.48
Sst,56.67
Sst,65.272
Sst,79.835
Sst,33.41
Sst,89.62363636
Sst,27.71
Sst,120.81
Sst,68.42769231
Sst,43.82727273
Sst,46.80666667
Sst,56.73529412
Sst,74.86833333
Sst,64.63714286
Sst,30.62814815
Sst,44.12285714
Sst,49.64631579
Sst,53.71294118
Sst,67.23230769
Sst,21.71
Sst,95.36
Sst,56.56
Sst,25.06
Sst,224.705
Sst,43.52
Sst,30.06
Sst,76.435
Sst,44.20842105
Sst,162.49
Sst,55.5125
Sst,55.11294118
Sst,49.84421053
Sst,78.545
Sst,35.75851852
Sst,68.865
Sst,59.735
Sst,41.6325
Sst,48.345
Sst,39.59
Sst,40.57666667
Sst,76.72666667
Sst,50.83333333
Sst,105.99
Sst,70.47428571
Pvalb,22.30666667
Pvalb,9.276981132
Pvalb,19.0475
Pvalb,12.51063291
Pvalb,8.495172414
Pvalb,15.55396825
Pvalb,10.01010101
Pvalb,12.3575
Pvalb,6.92
Pvalb,27.172
Pvalb,24.85315789
Pvalb,33.02068966
Pvalb,6.74
Pvalb,32.73428571
Pvalb,15.9252459
Pvalb,13.12173913
Pvalb,12.93368421
Pvalb,12.96210526
Pvalb,8.597087379
Pvalb,14.7944186
Pvalb,15.62
Pvalb,8.251
Pvalb,35.995
Pvalb,22.18136364
Pvalb,19.22526316
Pvalb,10.587
Pvalb,13.22108108
Pvalb,5.08
Pvalb,13.0083871
Pvalb,26.295
Pvalb,19.3308
Pvalb,9.455384615
Pvalb,34.02068966
Pvalb,13.21142857
Pvalb,29.31032258
Pvalb,11.66611111
Pvalb,20.84086957
Pvalb,18.57098039
Pvalb,27.17235294
Pvalb,28.06666667
Pvalb,17.37821429
Pvalb,21.18
Pvalb,24.94736842
Pvalb,23.494
Pvalb,11.38
Pvalb,31.5184
Pvalb,23.33804878
Pvalb,23.5265
Pvalb,40.5
Pvalb,14.82151515
Pvalb,17.51777778
Pvalb,13.96318841
Pvalb,8.222857143
Pvalb,29.50060606
Pvalb,13.79633803
Pvalb,13.4
Pvalb,47.98352941
Pvalb,30.795
Pvalb,22.49047619
Pvalb,24.69030303
Pvalb,22.88941176
Pvalb,8.04
Pvalb,20.23702128
Pvalb,38.78416667
Pvalb,17.39764706
Pvalb,6.56
Pvalb,7.091666667
Pvalb,12.07684211
Pvalb,17.97407407
Pvalb,24.56205128
Pvalb,20.49222222
Pvalb,10.76227273
Pvalb,18.11058824
Pvalb,10.16956522
Pvalb,12.21666667
Pvalb,22.52666667
