ISI,Fast_Trough,Marker
77.33714286,-49.89999771,Sst
17.17789474,-44.46249771,Sst
48.29473684,-47.35000229,Sst
8.98,-45.65625381,Sst
30.31538462,-50.73749924,Sst
77.02,-59.00000381,Sst
65.14,-45.76250076,Sst
134.1685714,-45.15000153,Sst
41.57875,-51.39374924,Sst
44.915,-45.71250153,Sst
43.06545455,-44.15625381,Sst
18.88551724,-52.56875229,Sst
44.796,-54.21875381,Sst
154.14,-44.62500381,Sst
45.66952381,-42.6875,Sst
31.08333333,-54.13125229,Sst
66.332,-60.39374924,Sst
29.82666667,-53.00000381,Sst
69.51692308,-50.93750381,Sst
60.23714286,-54.25,Sst
43.98833333,-51.9375,Sst
26.32222222,-46.4375,Sst
23.66,-46.75,Sst
54.42375,-52.75000381,Sst
56.1,-47.69375229,Sst
52.684,-52.91875458,Sst
42.01565217,-47.6875,Sst
58.04909091,-52.59375381,Sst
39.48285714,-46.52500153,Sst
53.36777778,-52.06250381,Sst
36.495,-51.25625229,Sst
44.19142857,-49.18750381,Sst
38.69333333,-48.5,Sst
50.62736842,-52.96875,Sst
47.051,-51.56250381,Sst
31.19133333,-57.46875381,Sst
34.89481481,-47.87500381,Sst
46.44736842,-55.16875076,Sst
48.68947368,-49.18750381,Sst
93.04888889,-50.61874771,Sst
68.20142857,-58.50000381,Sst
60.63,-47.83125305,Sst
67.255,-51.6875,Sst
26.412,-47.01875305,Sst
38.2376,-47.09999847,Sst
53.83647059,-54.30000305,Sst
35.26666667,-49.50000381,Sst
16.55241379,-48.5625,Sst
48.66,-49.50625229,Sst
40.0226087,-64.37500763,Sst
57.21625,-48.28125381,Sst
37.14,-55.93125153,Sst
16.23836066,-61.15625381,Sst
44.145,-52.56875229,Sst
62.625,-54.50000381,Sst
56.73529412,-54.64374924,Sst
49.84421053,-48.71875,Sst
42.06695652,-54.26875305,Sst
42.64736842,-53.1875,Sst
49.47,-40.78125381,Sst
55.82235294,-55.40625381,Sst
67.12461538,-58.0625,Sst
69.60181818,-43.21249771,Sst
66.25,-60.09375381,Sst
67.62307692,-51.95000458,Sst
55.2825,-49.01250458,Sst
59.89333333,-56.90000153,Sst
45.3,-57.20000458,Sst
75.52833333,-53.95000458,Sst
41.2426087,-52.04375458,Sst
43.85454545,-59.20624924,Sst
59.22,-55.55624771,Sst
42.18454545,-55.90000153,Sst
55.16352941,-47.17500305,Sst
33.42928571,-50.55000305,Sst
58.5825,-57.65625,Sst
42.99,-61.84999847,Sst
51.15111111,-55.56875229,Sst
52.33764706,-49.96249771,Sst
59.02125,-55.73750305,Sst
43.71619048,-48.03125,Sst
32.84,-54.53125381,Sst
62.36285714,-56.36250305,Sst
42.08173913,-57.66250229,Sst
69.89,-47.03750229,Sst
57.7525,-57.34375,Sst
49.84555556,-54.30000305,Sst
54.35058824,-57.82500458,Sst
49.02,-61.09375,Sst
53.33,-58.50000381,Sst
66.41692308,-44.97500229,Sst
50.22923077,-61.25,Sst
47.71684211,-46.96875,Sst
51.18555556,-59.75625229,Sst
45.745,-56.91250229,Sst
73.76769231,-51.63124847,Sst
65.58,-55.83125305,Sst
88.412,-48.16875076,Sst
60.224,-53.36249924,Sst
37.47538462,-55.55624771,Sst
59.96266667,-56.84375381,Sst
49.30631579,-55.125,Sst
45.14666667,-51.29999924,Sst
53.51142857,-51.16875458,Sst
50.06631579,-58.00000381,Sst
33.80333333,-57.81250381,Sst
62.352,-57.46875381,Sst
46.072,-61.15625381,Sst
69.72666667,-51.50000381,Sst
22.30666667,-48.73749924,Pvalb
19.0475,-60.03750229,Pvalb
12.51063291,-51.74374771,Pvalb
27.172,-58.13750076,Pvalb
24.85315789,-47.84375,Pvalb
6.74,-63.53125,Pvalb
12.93368421,-61.53125381,Pvalb
14.7944186,-50.30624771,Pvalb
15.62,-61.28125381,Pvalb
13.22108108,-48.12500381,Pvalb
13.0083871,-53.90625,Pvalb
11.66611111,-56.59375381,Pvalb
23.5265,-44.80000305,Pvalb
14.82151515,-50.78125381,Pvalb
29.50060606,-53.31874847,Pvalb
